long,lat,fr,url
35.2344295627606,31.7819365119453,Bezetha,
35.4154671065922,33.0444295300501,Biram,
35.4713208019384,32.6426401353333,Bireh wadi,
32.1712204094531,41.027003380993,Bithynie,
35.3068242697293,32.0023448947977,Borne Néapolis/Silo/Jéricho,
35.0369187965437,31.8201935104965,Bornes millières,
17.9382988326068,40.6370218498425,Brindisi,
14.7835305694228,41.1331221109628,Bénévent,
35.2173740149574,31.9061852097493,Bérot,
35.5532126219756,31.8364052823906,Béthanie du Jourdain,
35.1236354437592,31.8807505400063,Bétéron,
34.9666569672514,32.8310359057074,Cabanes des pêcheurs ?,
35.5594275589976,31.5969989905479,Callirhoé,
36.6181559448195,32.75568261884,Canata,
35.1689653869121,33.1641256572801,Cap Blanc (Ras el Bayada),
35.1042512775404,33.0936391957685,Cap de la tempête (Rosh Hanikra),
35.7037160379559,31.1819190049811,Carakamoab,
35.3379555302377,31.8575571721331,Mont Carit,
35.3524687548408,31.8411846752047,Carit Vallée,
35.0494606722278,32.7199991145899,Mont Carmel,
35.9698955361076,35.9514682749586,Mont Casio,
46.5669924603809,31.9501786095058,Chaldée,
35.2457240799446,31.7823393442424,Champ des galiléens,
15.5871667835401,38.1891496536591,Charybde,
26.0320226659811,38.404073036896,Chio,
35.889019416161,32.2456985978553,Chrysorrhoas,
33.4636455213766,35.1359771458957,Chypre,
35.0785031694562,37.147826212552,Cilicie,
34.9826665024527,31.703738963018,Colline du panorama,
36.1553431694321,36.1918624019178,Colonnades d'Hérode,
-5.57603379786933,35.9989928553417,Colonnes d'Hercule,
22.9322375459814,37.9386358765317,Corinthe,
35.5663699800185,32.9108106341054,Corozaïm,
25.0094808285953,35.1981661785799,Crète,
21.7355981584779,32.5339316494533,Cyrènaïque,
21.8584256730472,32.8246065221071,Cyrène,
35.5307096952909,33.1102983252722,Cédes,
35.2369968577705,31.7736588445889,Cédron,
35.6941254786076,33.2470796073229,Césarée de Philippe,
36.1437173800218,36.1297204924385,Daphné,
22.5011111111111,38.482500026168,Delphes,
35.4228135270606,31.8969588762166,Docco,
34.9200234434881,32.6122928380685,Dora Dor,
35.1867479561814,32.6511938683528,Doras ?,
35.3750111666535,32.6953212414316,Déberet,
35.7767634104956,31.5024221579699,Débon,
35.8004272484144,32.6009676963727,Décapole,
35.3005197713245,31.7007451990044,Désert de Judée,
35.2838005165503,32.2346399712053,Mont Ebal,
35.1077515879031,33.0941133357684,Echelles de Tyr,
35.3337528068173,30.6669256468133,Edom,
35.6389684647028,32.7849158242316,Ein Gev,
35.6528796215317,32.7828671634334,Ein Gev wadi,
35.3508408528429,32.7218203594541,Ein Mahil,
35.2100547754671,31.7059318907968,"El Djemel, wadi",
35.4116224223287,31.8414296600819,El Kelt wadi,
35.5138344690422,32.3486814532461,El Maleh wadi,
35.3892659754351,31.8337260850066,Elie l'essénien,
35.4365874826703,31.6723838559668,Embouchure du Cédron,
35.1297133599386,31.8419667955617,Emmaus de la Montagne,
34.9889220446429,31.8389053066653,Emmaus de la Plaine,
35.5499564372291,32.7662092117317,Emmaüs Sources chaudes,
35.235221824807,31.7674552929452,En Rogel,
35.384852420632,32.6266672245111,Endor,
35.2963264771445,32.4600818150115,Engannim,
35.2927841481705,31.9482281436415,Ephraïm,
27.3650472257011,37.9492375442624,Ephèse,
35.0730509093216,31.5726998612518,Eschcol vallée,
35.3282259673309,32.5576096361754,Esdrelon Jesraël,
45.298658530285,31.3099371379456,Euphrate,
34.9132718153042,32.5485840163656,Ez Zerqa Crocodilum flumen,
16.1736909400865,39.002914460469,Falerne,
35.7657234896869,33.2339827802595,Lac de Fialé Phialé,
11.3008274784025,43.8061440224078,Fiesole,
35.2346428647388,31.770676665298,Fontaine de Siloé,
36.2279095740896,32.3522168376558,Fontaine des Chameliers ?,
35.2342200709905,31.780268327081,Forteresse Antonia,
35.7135538331122,33.252421021842,Forteresse de Minrod,
31.4797710502614,29.9715054696808,Forêt pétrifiée,
35.0884711839,31.9858716077074,"Gaas, vallée",
35.1851988363916,31.847769807766,Gabaon,
35.8127559437385,32.261511247871,Galaad,
35.5174404495436,31.8640832712536,Galgala,
35.3556097899655,32.9334147919095,Galilée,
35.0919092955694,31.9723880319125,Gamala de Judée,
35.6827240695183,32.7204150738148,Gamala selon MV,
10.5595640762165,45.6181858456653,Gardone,
35.273641320756,32.2008395264077,Mont Garizim,
35.7667407658265,33.0105862697674,Gaulanitide,
35.8926798468922,32.2816990447745,Gerasa,
35.6501082605952,32.8248853667903,Gergésa,
34.8461239661988,31.6983500267424,Get Gath,
35.2277573062618,31.7779954465692,Gihon Vallée,
35.4140902021103,32.4866294264734,Gilboa,
35.2107501706686,32.6509217074855,Giocana ?,
35.2298056047558,31.7783963474342,Golgotha,
34.9687799355151,32.8282457978004,Grotte d'Elie,
35.3608772391593,31.4534622091907,Grotte d'Elisée ?,
35.3749910542308,32.6164088304838,Grotte de la pythonisse ?,
35.5244930132634,32.3547646852679,Grotte du Baptiste,
35.5355250506411,32.1018210136917,Gué d'Adam,
35.5467156909426,31.8372542537337,Gué de Béthabara,
35.2276819458672,31.7682053541662,Géhenne,
34.9709935829513,31.7094076023351,Gérimot,
35.2329873792563,31.7681069824218,Haceldema,
36.7986092418138,35.9050309938963,Hadrak,
35.2171750745093,31.4750207432096,Hakila,
35.4685562931217,31.9411208258537,Halte en MV 551.7-9,
35.6658338675852,32.6832201426361,Hamatha sources chaudes,
35.4899174798836,32.824583929474,Hammam Wadi,
35.3401412298312,32.7252298499657,Har Yona,
35.5664762497821,33.0195867993338,Hatzor,
32.7465097560517,16.0018541057533,Haut Nil,
35.6353351419298,32.418604351985,Haute Pérée,
35.8573524171567,33.4164109126019,Mont Hermon,
35.6842714782189,31.8176374953244,"Hesban, wadi",
35.1483251428056,33.0508617662132,Humsin,
43.2479164986027,42.5539320450811,Ibérie,
34.9352710609077,31.2007193982636,Idumée,
